ID,QUIZ: Financial Aid Requirement,Career Action Plan Check-In 1,Career Action Plan Check-In 2,Career Action Plan Check-In 3,Part 1 of Final Project - Interview Professional Approval,Part 2 of Final Project: Informational Interview,Week 1: To-DO Points Submission,Week 2: To-DO Points Submission,Week 3: To-DO Points Submission,Week 4: To-DO Points Submission,Week 5: To-DO Points Submission,Week 6: To-DO Points Submission,Week 7: To-DO Points Submission,Week 8: To-DO Points Submission,Week 9: To-DO Points Submission,Week 10: To-DO Points Submission,Week 11: To-DO Points Submission,Week 12: To-DO Points Submission,Week 13: To-DO Points Submission,1st Points Deadline Activity Assignment,2nd Points Deadline Activity Assignment,Final Earned To-DO Points Running Total (Max 30),Assignment 1: Networking with a Purpose,Assignment 2: The Optimized Resume,Assignment 3: Communicating Your Brand,In-Class LIVE Lecture Assignment for Attendance,Week 2 Quiz,Week 3 Quiz,Week 4 Quiz,Week 5 Quiz,Week 6 Quiz,Week 7 Quiz,Week 8 Quiz,Week 9 Quiz,Week 11 Quiz,Week 13 Quiz,Final Points,Final Score,Final Grade
4417997,10,5,5,5,10,18,,10,20,,,,,,,,,,,15,15,30,30,5,30,30,5,5,5,5,5,5,5,5,4,5,227,90.8,A
4333188,8,5,5,0,0,0,,,,,,,10,,,,,,,0,0,0,30,5,30,0,0,5,0,5,0,5,5,5,5,5,118,47.2,F
4509395,10,5,5,5,0,40,,,,,,,,,,,,,15,0,15,15,30,5,30,30,5,5,5,5,5,5,5,5,5,5,225,90,A
4408893,9.88,5,0,0,10,40,,,20,10,,,,,,,,,,15,15,30,30,5,29,30,5,5,5,5,5,5,5,5,5,5,238.88,95.55,A
4374305,9.38,5,5,5,10,40,10,,,,10,,,,,10,,,,15,15,30,30,5,30,30,5,5,5,5,5,5,5,5,5,5,249.38,99.75,A
4383167,9.88,5,5,5,10,40,,10,,,5,,,,,,,,15,15,15,30,30,5,30,30,5,5,5,4,5,5,5,5,5,5,248.88,99.55,A
4482810,10,5,5,5,10,0,,10,,,5,,,,,,,10,5,15,15,30,30,5,30,30,5,5,5,5,5,5,5,5,5,5,210,84,B
4407786,10,5,5,5,10,40,,15,,,,,,,,,,,,15,0,15,30,5,30,30,5,5,5,5,5,5,5,5,5,5,235,94,A
4427136,9.25,5,5,5,10,30,,,10,,,,,,,,,,,0,0,0,30,5,22.5,30,5,3,5,5,4,4,5,5,0,0,187.75,75.1,C
4259679,9.69,5,5,0,0,0,,,,,,,,,,,,,,0,0,0,30,5,30,0,5,5,5,5,5,5,4,5,5,0,128.69,51.48,F
4457736,10,5,5,5,10,40,,,,,,,,,,,,,,0,0,0,30,5,30,30,5,5,5,5,5,5,5,5,5,5,220,88,B+
4466839,10,5,5,5,0,0,,,20,,,,,,10,,,,,15,15,30,30,5,18,30,0,5,5,5,5,5,4,5,5,5,182,72.8,C
4467850,10,5,5,5,10,40,,,,,10,,15,,,,,10,,15,15,30,30,5,30,30,5,5,5,5,5,5,5,5,5,5,250,100,A
4448929,9.5,5,0,0,10,40,,,,5,,10,,,,,,10,15,15,15,30,30,0,30,30,5,5,5,5,5,4,5,5,5,5,233.5,93.4,A
4435755,9.94,5,0,5,10,34,,,5,,5,,5,,5,5,5,,,15,15,30,30,5,30,30,4,5,5,5,5,5,5,5,5,5,237.94,95.18,A
4423441,10,5,0,0,0,40,,,,,,,,,,,,,,0,0,0,0,0,0,30,4,5,5,0,0,0,0,0,0,5,104,41.6,F
4467154,7.69,5,0,0,10,0,,,,,,,15,,,,,,,15,0,15,30,0,30,0,5,5,5,5,5,5,5,5,4,5,146.69,58.68,F
4401815,9,5,0,3.75,10,40,,,,,,,,,,,,,,0,0,30,30,5,0,0,5,5,5,5,5,0,5,5,5,5,177.75,71.1,C
4411169,10,5,5,5,10,40,,,,,5,10,10,,,,,,10,15,15,30,0,5,10.5,30,5,5,5,5,5,5,5,5,5,5,200.5,80.2,B
4420752,10,5,5,5,10,40,,,20,,,,,,,10,,,,15,15,30,30,5,30,30,5,5,5,5,5,5,5,5,3,5,248,99.2,A
4506395,10,5,5,5,10,31,,,5,15,,5,5,,,,,,,15,15,30,30,5,29,30,5,5,5,5,5,5,5,5,4,5,239,95.6,A
4415221,10,5,5,5,10,0,10,,,,10,10,,,,,,,,15,15,30,30,5,30,30,5,5,5,5,5,5,5,5,5,5,210,84,B
4425181,9.75,5,5,5,10,40,,,,,,10,5,,10,,,,,15,0,15,30,5,30,30,5,5,5,5,5,5,5,5,4,5,233.75,93.5,A
4440055,10,5,5,5,10,40,,,10,,,10,,,,,10,,,15,15,30,30,5,30,30,5,5,5,5,5,5,5,5,4,5,249,99.6,A
4469420,10,5,5,5,10,40,,10,,5,,,5,,,,10,,,15,15,30,30,5,30,30,5,4,5,5,5,4,5,5,4,5,247,98.8,A
4433282,10,5,5,0,10,40,,,,,,20,10,,,,,,,15,15,30,30,5,30,30,5,5,5,5,5,5,4,5,5,5,244,97.6,A
4424364,9.81,5,5,5,10,40,,,,,10,,5,,10,10,,,,15,15,30,30,0,30,30,3.67,5,5,5,5,5,5,5,5,5,243.48,97.39,A
4511215,9.94,5,5,5,10,40,,,,,5,10,,5,,,,,10,15,15,30,30,5,30,30,5,5,5,5,5,4,5,4,5,5,247.94,99.18,A
4421873,10,5,5,5,10,40,,,10,10,,,,,,10,,,,15,15,30,30,5,30,30,5,5,5,5,5,5,5,5,5,4,249,99.6,A
4450825,10,5,5,5,10,40,10,,,5,,,5,5,5,,,,,15,15,30,30,5,30,30,5,5,5,5,5,5,4,5,5,5,249,99.6,A
4424216,10,5,5,5,10,0,,,,5,,,20,,,,,,10,15,15,30,30,5,30,30,5,5,5,5,5,5,5,5,5,5,210,84,B
4446646,10,5,5,5,10,40,,,,,,,,,,,,,,15,15,30,30,5,30,30,5,5,5,5,5,5,5,5,4,5,249,99.6,A
4349155,10,5,5,5,10,40,,,,,,,20,,,,10,,,15,15,30,30,5,29,30,5,5,5,5,5,5,4,5,5,5,248,99.2,A
4482096,9.69,5,5,0,0,0,,,,,,15,,,,,10,,10,15,15,30,30,5,30,30,0,5,5,5,5,5,5,5,5,5,189.69,75.88,C
4439135,9.75,5,5,5,0,40,,,,,,,25,,,,,,10,15,15,30,30,5,30,30,5,5,5,5,5,5,5,5,5,5,239.75,95.9,A
4460071,10,5,5,0,10,40,,5,,10,,,10,,,,,,10,15,15,30,30,5,29,30,5,5,5,5,5,5,4,5,5,5,243,97.2,A
4447828,10,5,5,5,10,40,,,10,10,,,,,,10,,5,,15,15,30,30,5,30,30,5,5,5,5,5,5,5,5,3,5,248,99.2,A
4480086,9.38,5,5,5,10,40,,,,,,10,10,,,10,,,,15,15,30,30,5,30,30,5,5,5,5,5,5,5,5,4,5,248.38,99.35,A
4396451,10,5,0,0,0,40,,,,,,,15,,,,,,15,15,15,30,30,5,30,0,5,5,5,5,0,5,5,5,0,5,190,76,C
4423520,9.94,5,5,5,10,40,,20,5,,,5,,,,,,,,15,15,30,30,5,30,30,5,5,5,4,5,5,4,5,5,5,247.94,99.18,A
